d,beta_p,beta_d,c_eps4,c_eps5,vel_15,TI_15,vel_03,TI_03
1.2,0.325,3.025,0.325,3.025,0.759581,0.176928096,0.788644,0.091645269
2,0.325,3.025,0.325,3.025,0.775127,0.166132727,0.793996,0.085629351
3,0.325,3.025,0.325,3.025,0.783963,0.159060782,0.797098,0.08229688
4,0.325,3.025,0.325,3.025,0.788624,0.154791615,0.798635,0.080777651
5,0.325,3.025,0.325,3.025,0.791594,0.15177137,0.799462,0.080035267
6,0.325,3.025,0.325,3.025,0.793681,0.149427692,0.799871,0.079661619
7,0.325,3.025,0.325,3.025,0.795218,0.147506596,0.800055,0.079466361
8,0.325,3.025,0.325,3.025,0.796378,0.145872928,0.800136,0.07935649
9,0.325,3.025,0.325,3.025,0.797265,0.144448398,0.800173,0.079287843
10,0.325,3.025,0.325,3.025,0.797951,0.143180338,0.800192,0.07923946
1.2,0.325,3.025,0.325,1.075,0.753119,0.180377531,0.78676,0.093162664
2,0.325,3.025,0.325,1.075,0.771703,0.167819429,0.792807,0.086301847
3,0.325,3.025,0.325,1.075,0.78206,0.159761639,0.79635,0.082443767
4,0.325,3.025,0.325,1.075,0.787346,0.155012347,0.7982,0.080631652
5,0.325,3.025,0.325,1.075,0.790614,0.151717161,0.799235,0.079717745
6,0.325,3.025,0.325,1.075,0.792871,0.149192036,0.799763,0.079244488
7,0.325,3.025,0.325,1.075,0.794527,0.147134381,0.800009,0.07899087
8,0.325,3.025,0.325,1.075,0.795781,0.145389461,0.800115,0.078846066
9,0.325,3.025,0.325,1.075,0.796746,0.14386885,0.800157,0.078754978
10,0.325,3.025,0.325,1.075,0.797498,0.142515977,0.800167,0.078690903
1.2,0.325,3.025,0.775,3.025,0.757785,0.177887651,0.786216,0.093676756
2,0.325,3.025,0.775,3.025,0.774177,0.166597852,0.792456,0.086548966
3,0.325,3.025,0.775,3.025,0.78343,0.159252572,0.796115,0.082522292
4,0.325,3.025,0.775,3.025,0.788261,0.154850427,0.79805,0.080615845
5,0.325,3.025,0.775,3.025,0.791312,0.151753913,0.799147,0.079647072
6,0.325,3.025,0.775,3.025,0.793446,0.149358907,0.799712,0.079143255
7,0.325,3.025,0.775,3.025,0.795018,0.147398154,0.799976,0.078873701
8,0.325,3.025,0.775,3.025,0.796205,0.145732621,0.80009,0.078721102
9,0.325,3.025,0.775,3.025,0.797115,0.144279365,0.80013,0.078626961
10,0.325,3.025,0.775,3.025,0.79782,0.142986462,0.800138,0.078561916
1.2,0.325,3.025,0.775,1.075,0.746371,0.183993736,0.776235,0.103386938
2,0.325,3.025,0.775,1.075,0.768066,0.169650426,0.785865,0.092439751
3,0.325,3.025,0.775,1.075,0.780064,0.160551658,0.791556,0.085673766
4,0.325,3.025,0.775,1.075,0.786054,0.155286937,0.794884,0.081947072
5,0.325,3.025,0.775,1.075,0.789658,0.151701522,0.796985,0.079699346
6,0.325,3.025,0.775,1.075,0.7921,0.148990346,0.798269,0.078307804
7,0.325,3.025,0.775,1.075,0.793876,0.146798538,0.799029,0.077437717
8,0.325,3.025,0.775,1.075,0.795218,0.144949019,0.799459,0.076888334
9,0.325,3.025,0.775,1.075,0.796255,0.143340503,0.799688,0.076535295
10,0.325,3.025,0.775,1.075,0.797065,0.141911053,0.799801,0.07630135
1.2,0.325,1.075,0.325,3.025,0.761284,0.188024475,0.788579,0.096263638
2,0.325,1.075,0.325,3.025,0.776421,0.174333667,0.794068,0.089694103
3,0.325,1.075,0.325,3.025,0.784889,0.165645502,0.797172,0.08615076
