d,x1,x2,x3,x4,TI_03,TI_15,vel_03,vel_15
1.2,0.1,0.1,0.1,0.1,0.085801653,0.181750521,0.768415,0.744848
2,0.1,0.1,0.1,0.1,0.077404582,0.167946262,0.780051,0.767193
3,0.1,0.1,0.1,0.1,0.071818726,0.159149124,0.78693,0.779569
4,0.1,0.1,0.1,0.1,0.068473283,0.154054254,0.791024,0.785729
5,0.1,0.1,0.1,0.1,0.066200989,0.150582101,0.793827,0.789416
6,0.1,0.1,0.1,0.1,0.064566845,0.147951715,0.795809,0.791905
7,0.1,0.1,0.1,0.1,0.063360653,0.145820172,0.797222,0.793711
8,0.1,0.1,0.1,0.1,0.062460654,0.14401569,0.798223,0.795075
9,0.1,0.1,0.1,0.1,0.061786568,0.142440926,0.798918,0.796129
10,0.1,0.1,0.1,0.1,0.061280866,0.141037771,0.799385,0.796953
1.2,0.1,0.1,0.1,2.05,0.085292433,0.181158311,0.768866,0.745676
2,0.1,0.1,0.1,2.05,0.077023392,0.167613284,0.780326,0.767639
3,0.1,0.1,0.1,2.05,0.071518955,0.158968132,0.787124,0.779809
4,0.1,0.1,0.1,2.05,0.068220784,0.153949298,0.791182,0.78588
5,0.1,0.1,0.1,2.05,0.065982014,0.150520817,0.793962,0.789525
6,0.1,0.1,0.1,2.05,0.064375089,0.147918406,0.79592,0.791991
7,0.1,0.1,0.1,2.05,0.063192143,0.145806403,0.79731,0.793782
8,0.1,0.1,0.1,2.05,0.062312285,0.144016723,0.79829,0.795136
9,0.1,0.1,0.1,2.05,0.061655686,0.142454701,0.798965,0.796182
10,0.1,0.1,0.1,2.05,0.061164904,0.141061273,0.799414,0.797001
1.2,0.1,0.1,0.1,4,0.084832979,0.180629576,0.769272,0.746412
2,0.1,0.1,0.1,4,0.076679625,0.167316683,0.780573,0.768033
3,0.1,0.1,0.1,4,0.071248622,0.158806093,0.787299,0.780022
4,0.1,0.1,0.1,4,0.067993187,0.153855387,0.791325,0.786014
5,0.1,0.1,0.1,4,0.065785079,0.15046557,0.794082,0.789621
6,0.1,0.1,0.1,4,0.064202684,0.147887874,0.79602,0.792066
7,0.1,0.1,0.1,4,0.063040851,0.145793381,0.797389,0.793845
8,0.1,0.1,0.1,4,0.062179209,0.144017012,0.798349,0.795191
9,0.1,0.1,0.1,4,0.06153817,0.142466044,0.799006,0.79623
10,0.1,0.1,0.1,4,0.061060585,0.141081736,0.79944,0.797043
1.2,0.1,0.1,0.55,0.1,0.108160324,0.184481659,0.747778,0.740988
2,0.1,0.1,0.55,0.1,0.094611807,0.169485567,0.767167,0.765085
3,0.1,0.1,0.55,0.1,0.0854785,0.159982371,0.778047,0.778422
4,0.1,0.1,0.55,0.1,0.08006204,0.154529457,0.783755,0.785011
5,0.1,0.1,0.55,0.1,0.076381102,0.15085316,0.787422,0.788906
6,0.1,0.1,0.55,0.1,0.073654261,0.14809314,0.790064,0.791506
7,0.1,0.1,0.55,0.1,0.071522195,0.145870665,0.792101,0.793379
